Campus ID,VisaType,D601,D602,D603,D604,D606,D605,D607,Ele1,Ele2,Ele3,Ele4
GT93257,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
GU23211,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
GV71019,F1 - Student Visa,1,2,2,1,0,1,2,1.5,0,0,0
GX02138,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,3
GX82934,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
GX86058,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
GY76933,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
GY98699,F1 - Student Visa,1,1,2,2,0,2,3,1,3,3,0
GZ90778,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
HA69736,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
HA82537,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
HB63578,F1 - Student Visa,1,2,2,1,3,5,3,1,4,0,0
HD59451,F1 - Student Visa,1,2,2,1,3,1,2,3,3,4,0
HD97936,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
HE39576,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
HF19653,F1 - Student Visa,1,2,1,1,4,2,2,3,3,3,0
HH85815,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
HI07579,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
HJ18972,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
HK23091,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
HK31410,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
HK63493,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
HK83297,F1 - Student Visa,2,0,0,0,0,2,1,1,1,2,3
HK84530,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
HL14572,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
HL35331,F1 - Student Visa,1,2,2,1,3.5,1,2,3,3,3,0
HL43498,F1 - Student Visa,1,1.5,2,1,0,1,2,1.5,2,0,0
HN42414,Citizen by birth,0,1,0,0,0,0,0,0,0,0,0
HN59090,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
HO74376,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
HP14858,No Visa Type,3,4,5.5,5,6,1,2,1,1.5,2,2
HR29177,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
HS44379,F1 - Student Visa,1,2,3,2,0,1,2,1,3,3,0
HT16094,F1 - Student Visa,1,2,2,1,0,1,1.5,2,0,0,0
HU17258,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
HW09259,F1 - Student Visa,1,2,2,1,2.5,1,1,2,2.5,3,0
HW19895,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
HY48532,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,3
HY56293,F1 - Student Visa,1,2,2,1,3,1,3,2,3,0,0
HZ37296,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
IA50215,F1 - Student Visa,1,0,1,1,0,1,0,0,0,0,0
IA73214,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
IE68690,No Visa Type,0,0,0,0,0,0,0,1,1,2,2
IE92339,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
IG25413,F1 - Student Visa,1,2,3,1,0,3.5,2,-1,3,3,0
IG45378,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
IG74096,F1 - Student Visa,1,2,2,1,3,1,2,2.5,3,3,0
II39698,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
IJ52978,F1 - Student Visa,1,0,0,1,0,0,0,1,0,0,0
IM06699,Permanent Resident,1,2,3,3,0,5,4,2.5,4,5,0
IM98170,F1 - Student Visa,1,2,2,1,0,1,5,3,3,0,0
IN00574,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
IO21458,F1 - Student Visa,1,2,2,1,0,1,3,2,3,0,0
IP03539,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
IP94898,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
IQ36495,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
IQ58974,F1 - Student Visa,1,1,1,1,0,0,0,0,0,0,0
IT75930,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
IV52413,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JA54333,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JA85013,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JE18938,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JE40933,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
JF96412,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
JG97937,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JH58970,F1 - Student Visa,1,2,0,2,0,0,0,1,1,1.5,2
JH88172,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JK55095,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
JL15855,F1 - Student Visa,1,2,2,1,0,1,6,2,3,3,0
JL48133,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JL60293,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,3
JM59453,F1 - Student Visa,1,3,2,1,0,2,2,1,3,3,0
JN60493,F1 - Student Visa,1,1,2,1,3,2,0,2,3,3,0
JO25650,F1 - Student Visa,1,2,2,1,0,1,2,1.5,0,0,0
JO43179,No Visa Type,0,0,2,1,6,1.5,3,4,5,0,0
JP44930,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
JQ00578,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JR32251,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JR94931,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
JS76853,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
JT06458,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
JT23739,F1 - Student Visa,1,2,3,1,0,1,3,2,2,3,0
JT88377,No Visa Type,1,0,0,1,0,0,0,1,0,0,0
JV40019,F1 - Student Visa,1,0,0,1,0,0,0,1,0,0,0
JV70217,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
JX33255,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
JX65291,F1 - Student Visa,1,2,2,1,4,1,2,3,-1,3,4
KA30856,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
KA62774,No Visa Type,1,2.5,3,2,3,2,3,1,2.5,3,0
KB85699,F1 - Student Visa,1,2,3,2,0,1,1,2,3,3,0
KC15894,No Visa Type,0,0,3,2,0,2,0,1,0,0,0
KD80413,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
KE02693,No Visa Type,1,2,0,1,0,2,0,0,0,0,0
KF31895,F1 - Student Visa,1,1.5,2,1,4,4,1,3,3,3,0
KF95293,F1 - Student Visa,1,1,2,1,3,1,3,2,2,2.5,0
KG86292,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
KG97855,F1 - Student Visa,1,2,0,1,0,2,1,2,0,0,0
KJ04412,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
