,school_name,state_name_latest_available_year,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,magnet_school,shared_time_school,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
0,A G RICHARDSON ELEM,Virginia,510105000374,Culpeper County,†,22701,2-No,2-No,32-Town: Distant,†,VA-024,VA-024-0240240
1,A M DAVIS ELEM,Virginia,510084000314,Chesterfield County,†,23236,2-No,2-No,21-Suburb: Large,1-Yes,VA-021,VA-021-0210620
2,A. HENDERSON ELEM,Virginia,510313002039,Prince William County,†,22025,2-No,2-No,21-Suburb: Large,†,VA-075,VA-075-0750330
3,A. LINWOOD HOLTON GOV. SCH.,Virginia,510003301933,Washington County,†,24210,1-Yes,1-Yes,23-Suburb: Small,†,VA-268,VA-268-2680010
4,A. MARIO LOIEDERMAN MIDDLE,Maryland,240048001446,Montgomery County,†,20906,1-Yes,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150787
5,A. R. WARE ELEM,Virginia,510369001610,Staunton city,†,24401,2-No,2-No,13-City: Small,1-Yes,VA-126,VA-126-1260040
6,A.S. RHODES ELEM,Virginia,510387001729,Warren County,†,22630,2-No,2-No,31-Town: Fringe,1-Yes,VA-093,VA-093-0930090
7,A.W.E. BASSETTE ELEM,Virginia,510180000725,Hampton city,†,23661,2-No,2-No,12-City: Mid-size,1-Yes,VA-112,VA-112-1120500
8,ABBOTTSTON ELEMENTARY,Maryland,240009000143,Baltimore city,†,21218,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300050
9,ABBS VALLEY-BOISSEVAIN ELEM,Virginia,510381001645,Tazewell County,†,24605,2-No,2-No,42-Rural: Distant,1-Yes,VA-092,VA-092-0921020
10,ABERDEEN ELEM,Virginia,510180000726,Hampton city,†,23666,2-No,2-No,12-City: Mid-size,1-Yes,VA-112,VA-112-1120160
11,ABERDEEN HIGH,Maryland,240039000679,Harford County,†,21001,1-Yes,2-No,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120270
12,ABERDEEN MIDDLE,Maryland,240039000678,Harford County,†,21001,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120265
13,ABINGDON ELEM,Virginia,510027000081,Arlington County,†,22206,2-No,2-No,12-City: Mid-size,1-Yes,VA-007,VA-007-0070350
14,ABINGDON ELEM,Virginia,510162000677,Gloucester County,†,23072,2-No,2-No,21-Suburb: Large,2-No,VA-036,VA-036-0360250
15,ABINGDON ELEM,Virginia,510390001735,Washington County,†,24210,2-No,2-No,23-Suburb: Small,2-No,VA-094,VA-094-0941080
16,ABINGDON ELEMENTARY,Maryland,240039000162,Harford County,†,21009,2-No,2-No,22-Suburb: Mid-size,†,MD-12,MD-12-120123
17,ABINGDON HIGH,Virginia,510390001736,Washington County,†,24210,2-No,2-No,23-Suburb: Small,†,VA-094,VA-094-0941030
18,ACADEMY 360,VIRGINIA,510084002983,Chesterfield County,†,23112,2-No,1-Yes,21-Suburb: Large,†,VA-021,VA-021-0210930
19,ACADEMY AT VIRGINIA RANDOLPH,Virginia,510189000805,Henrico County,†,23060,2-No,1-Yes,21-Suburb: Large,†,VA-043,VA-043-0430040
20,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,Maryland,240009001381,Baltimore city,†,21211,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300427
21,ACADEMY FOR DISCOVERY AT LAKEWOOD,VIRGINIA,510267003018,Norfolk city,†,23509,2-No,2-No,12-City: Mid-size,†,VA-118,VA-118-1180185
22,ACADEMY OF HEALTH SCIENCES AT PGCC,Maryland,240051001704,Prince George's County,†,20774,1-Yes,2-No,21-Suburb: Large,†,MD-16,MD-16-161350
23,ACCAWMACKE ELEM,Virginia,510006001737,Accomack County,†,23301,2-No,2-No,43-Rural: Remote,1-Yes,VA-001,VA-001-0010701
24,ACCIDENT ELEMENTARY,Maryland,240036000662,Garrett County,†,21520,2-No,2-No,42-Rural: Distant,1-Yes,MD-11,MD-11-110501
25,ACCOKEEK ACADEMY,Maryland,240051001686,Prince George's County,†,20607,1-Yes,2-No,41-Rural: Fringe,†,MD-16,MD-16-160509
26,ACHIEVABLE DREAM ACADEMY,Virginia,510264002343,Newport News city,†,23607,1-Yes,2-No,12-City: Mid-size,1-Yes,VA-117,VA-117-1171404
27,ACHIEVABLE DREAM MIDDLE/HIGH,Virginia,510264002344,Newport News city,†,23605,1-Yes,2-No,12-City: Mid-size,†,VA-117,VA-117-1171405
28,ACHIEVEMENT ACADEMY @ HARBOR CITY HIGH,Maryland,240009000236,Baltimore city,†,21214,2-No,2-No,11-City: Large,†,MD-30,MD-30-300413
29,ACHIEVEMENT INTEGRITY AND MATURITY,Virginia,510126002674,Fairfax County,†,22306,2-No,1-Yes,21-Suburb: Large,†,VA-029,VA-029-0292244
30,ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,District of Columbia,110007200473,District of Columbia,†,20032,†,–,11-City: Large,–,DC-155,DC-155-217
31,ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE MS,District of Columbia,110007200405,District of Columbia,†,20032,†,–,11-City: Large,–,DC-155,DC-155-1100
32,ACHILLES ELEM,Virginia,510162000678,Gloucester County,†,23072,2-No,2-No,41-Rural: Fringe,2-No,VA-036,VA-036-0360240
33,ACQUINTON ELEM,Virginia,510212002151,King William County,†,23086,2-No,2-No,42-Rural: Distant,†,VA-050,VA-050-0500180
34,ADAMS ELEM,Virginia,510189000813,Henrico County,†,23223,2-No,2-No,21-Suburb: Large,1-Yes,VA-043,VA-043-0430660
35,ADELPHI ELEMENTARY,Maryland,240051000965,Prince George's County,†,20783,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-161714
36,ADMIRAL RICHARD E. BYRD MIDDLE,Virginia,510147002437,Frederick County,†,22602,2-No,2-No,41-Rural: Fringe,†,VA-034,VA-034-0340586
37,ADULT & CAREER  EDUCATION CTR,Virginia,510111002467,Danville city,†,24541,2-No,1-Yes,32-Town: Distant,†,VA-108,VA-108-1081378
38,ADULT EDUCATION CENTER,Virginia,510189000537,Henrico County,†,23075,2-No,1-Yes,21-Suburb: Large,†,VA-043,VA-043-0430460
39,ADULT LEARNING CTR.,Virginia,510384000684,Virginia Beach city,†,23452,2-No,1-Yes,11-City: Large,†,VA-128,VA-128-1281042
40,ADVANCED CAREER EDUCATION CENTER AT HERMITAGE,Virginia,510189000807,Henrico County,†,23228,1-Yes,1-Yes,21-Suburb: Large,†,VA-043,VA-043-0430671
41,ADVANCED CAREER EDUCATION CENTER AT HIGHLAND SPRINGS,Virginia,510189000810,Henrico County,†,23075,1-Yes,1-Yes,21-Suburb: Large,†,VA-043,VA-043-0430191
42,ADVANCED TECHNOLOGY CTR.,Virginia,510384002430,Virginia Beach city,†,23453,2-No,1-Yes,11-City: Large,†,VA-128,VA-128-1281048
43,AFTERNOON GROUP LEARNING CENTERS,Maryland,240012000910,Baltimore County,†,21204,2-No,2-No,13-City: Small,†,MD-03,MD-03-030050
44,AFYA PUBLIC CHARTER SCHOOL,Maryland,240009001661,Baltimore city,†,21213,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300337
45,AGNOR-HURT ELEM,Virginia,510009000002,Albemarle County,†,22901,2-No,2-No,23-Suburb: Small,2-No,VA-002,VA-002-0020160
46,AITON ES,District of Columbia,110003000122,District of Columbia,†,20019,†,–,11-City: Large,–,DC-001,DC-001-202
47,ALANTON ELEM,Virginia,510384001671,Virginia Beach city,†,23454,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280590
48,ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,Virginia,510009002796,Charlottesville city,†,22903,2-No,2-No,13-City: Small,†,VA-002,VA-002-0021060
49,ALBEMARLE HIGH,Virginia,510009000015,Albemarle County,†,22901,1-Yes,2-No,41-Rural: Fringe,†,VA-002,VA-002-0020880
50,ALBERT EINSTEIN HIGH,Maryland,240048000773,Montgomery County,†,20895,2-No,2-No,21-Suburb: Large,2-No,MD-15,MD-15-150789
51,ALBERT HARRIS ELEM,Virginia,510240002616,Martinsville city,†,24112,2-No,2-No,32-Town: Distant,1-Yes,VA-116,VA-116-1160222
52,ALBERT HILL MIDDLE,Virginia,510324001351,Richmond city,†,23221,2-No,2-No,12-City: Mid-size,1-Yes,VA-123,VA-123-1230030
53,ALBERTA SMITH ELEM,Virginia,510084000462,Chesterfield County,†,23112,2-No,2-No,21-Suburb: Large,†,VA-021,VA-021-0210861
54,ALC AT BRYANT,Virginia,510126001103,Fairfax County,†,22306,2-No,1-Yes,21-Suburb: Large,†,VA-029,VA-029-0292212
55,ALC AT BURKE,Virginia,510126002862,Fairfax County,†,20115,2-No,1-Yes,21-Suburb: Large,†,VA-029,VA-029-0292352
56,ALC AT MONTROSE,Virginia,510126002790,Fairfax County,†,22312,2-No,1-Yes,21-Suburb: Large,†,VA-029,VA-029-0292246
57,ALC AT MOUNTAIN VIEW,Virginia,510126001106,Fairfax County,†,20121,2-No,1-Yes,21-Suburb: Large,†,VA-029,VA-029-0292213
58,ALDIE ELEM,Virginia,510225000908,Loudoun County,†,20105,2-No,2-No,41-Rural: Fringe,†,VA-053,VA-053-0530510
59,ALDRIN ELEM,Virginia,510126000767,Fairfax County,†,20194,2-No,2-No,13-City: Small,†,VA-029,VA-029-0292203
60,ALEXANDER HAMILTON ELEMENTARY,Maryland,240009000145,Baltimore city,†,21216,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300145
61,ALFRED S. FORREST ELEM,Virginia,510180000727,Hampton city,†,23666,2-No,2-No,12-City: Mid-size,1-Yes,VA-112,VA-112-1120260
62,ALGONKIAN ELEM,Virginia,510225002153,Loudoun County,†,20165,2-No,2-No,21-Suburb: Large,†,VA-053,VA-053-0530150
63,ALLEGANY HIGH,Maryland,240003000001,Allegany County,†,21502,2-No,2-No,13-City: Small,†,MD-01,MD-01-010606
64,ALLEGHANY HIGH,Virginia,510015201883,Alleghany County,†,24426,2-No,2-No,42-Rural: Distant,†,VA-003,VA-003-0030310
65,ALLENWOOD ELEMENTARY,Maryland,240051000966,Prince George's County,†,20748,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-160632
66,ALTAVISTA ELEM,Virginia,510060000219,Campbell County,†,24517,2-No,2-No,41-Rural: Fringe,1-Yes,VA-016,VA-016-0160560
67,ALTAVISTA HIGH,Virginia,510060000220,Campbell County,†,24517,2-No,2-No,32-Town: Distant,†,VA-016,VA-016-0160200
68,ALTERN ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,510007802353,Montgomery County,†,24073,2-No,1-Yes,13-City: Small,†,VA-407,VA-407-4070407
69,ALTERNATIVE EDUCATION CENTER,Virginia,510171002439,Greene County,†,22973,2-No,1-Yes,31-Town: Fringe,†,VA-039,VA-039-0390282
70,ALTERNATIVE EDUCATION CENTER,Virginia,510246002453,Mecklenburg County,†,23968,2-No,1-Yes,42-Rural: Distant,†,VA-058,VA-058-0581121
71,ALTERNATIVE EDUCATION CTR.,Virginia,510132002186,Fauquier County,†,22728,2-No,1-Yes,42-Rural: Distant,†,VA-030,VA-030-0300703
72,ALTERNATIVE PROGRAMS,Maryland,240048001451,Montgomery County,†,20853,2-No,2-No,13-City: Small,†,MD-15,MD-15-150239
73,AMELIA COUNTY ELEM,Virginia,510018000062,Amelia County,†,23002,2-No,2-No,42-Rural: Distant,1-Yes,VA-004,VA-004-0040220
74,AMELIA COUNTY HIGH,Virginia,510018001828,Amelia County,†,23002,2-No,2-No,42-Rural: Distant,†,VA-004,VA-004-0040010
75,AMELIA COUNTY MIDDLE,Virginia,510018000063,Amelia County,†,23002,2-No,2-No,42-Rural: Distant,†,VA-004,VA-004-0040210
76,AMELIA STREET SP. ED.,Virginia,510324001352,Richmond city,†,23220,2-No,2-No,12-City: Mid-size,1-Yes,VA-123,VA-123-1230750
77,AMELIA-NOTTOWAY VOC CTR,Virginia,510001302026,Nottoway County,†,23083,2-No,1-Yes,42-Rural: Distant,†,VA-311,VA-311-3110380
78,AMELON ELEM,Virginia,510021000064,Amherst County,†,24572,2-No,2-No,41-Rural: Fringe,1-Yes,VA-005,VA-005-0050780
79,AMHERST COUNTY HIGH,Virginia,510021000065,Amherst County,†,24521,2-No,2-No,41-Rural: Fringe,†,VA-005,VA-005-0050750
80,AMHERST ELEM,Virginia,510021000067,Amherst County,†,24521,2-No,2-No,41-Rural: Fringe,1-Yes,VA-005,VA-005-0050790
81,AMHERST MIDDLE,Virginia,510021000066,Amherst County,†,24521,2-No,2-No,41-Rural: Fringe,†,VA-005,VA-005-0050670
82,AMIDON-BOWEN ES,District of Columbia,110003000121,District of Columbia,†,20024,†,–,11-City: Large,–,DC-001,DC-001-203
83,ANACOSTIA HS,District of Columbia,110003000085,District of Columbia,†,20020,†,–,11-City: Large,–,DC-001,DC-001-450
84,ANDREW G. WRIGHT MIDDLE,Virginia,510366001978,Stafford County,†,22556,2-No,2-No,21-Suburb: Large,†,VA-089,VA-089-0890040
85,ANDREW JACKSON ACADEMY,Maryland,240051001683,Prince George's County,†,20747,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-160645
86,ANDREW LEWIS MIDDLE,Virginia,510346002045,Salem city,†,24153,2-No,2-No,22-Suburb: Mid-size,†,VA-139,VA-139-1390100
87,ANNANDALE HIGH,Virginia,510126000423,Fairfax County,†,22003,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0290660
88,ANNANDALE TERRACE ELEM,Virginia,510126000424,Fairfax County,†,22003,2-No,2-No,21-Suburb: Large,1-Yes,VA-029,VA-029-0291360
89,ANNAPOLIS ELEMENTARY,Maryland,240006000035,Anne Arundel County,†,21401,2-No,2-No,21-Suburb: Large,1-Yes,MD-02,MD-02-024092
90,ANNAPOLIS HIGH,Maryland,240006000037,Anne Arundel County,†,21401,2-No,2-No,21-Suburb: Large,2-No,MD-02,MD-02-024013
91,ANNAPOLIS MIDDLE,Maryland,240006000036,Anne Arundel County,†,21403,2-No,2-No,21-Suburb: Large,1-Yes,MD-02,MD-02-024033
92,ANNAPOLIS ROAD ACADEMY,Maryland,240051000865,Prince George's County,†,20721,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-160216
93,ANNE ARUNDEL EVENING HIGH,Maryland,240006000899,Anne Arundel County,†,21146,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-022233
94,ANNE E. MONCURE ELEM,Virginia,510366001594,Stafford County,†,22556,2-No,2-No,21-Suburb: Large,†,VA-089,VA-089-0890260
95,ANTHONY BURNS ELEM,Virginia,510366002601,Stafford County,†,22554,2-No,2-No,21-Suburb: Large,2-No,VA-089,VA-089-0890433
96,ANTIETAM ELEM,Virginia,510313002199,Prince William County,†,22192,2-No,2-No,21-Suburb: Large,†,VA-075,VA-075-0750760
97,APPLE GROVE ELEMENTARY,Maryland,240051000969,Prince George's County,†,20744,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-161229
98,APPLE PIE RIDGE ELEM,Virginia,510147000646,Frederick County,†,22603,2-No,2-No,41-Rural: Fringe,1-Yes,VA-034,VA-034-0340010
99,APPLETREE EARLY LEARNING CENTER PCS - COLUMBIA HEIGHTS,District of Columbia,110005400304,District of Columbia,†,20009,†,–,11-City: Large,–,DC-103,DC-103-140
100,APPLETREE EARLY LEARNING CENTER PCS - DOUGLAS KNOLL,District of Columbia,110005400447,District of Columbia,†,20020,†,–,11-City: Large,–,DC-103,DC-103-3072
101,APPLETREE EARLY LEARNING CENTER PCS - LINCOLN PARK,District of Columbia,110005400448,District of Columbia,†,20002,†,–,11-City: Large,–,DC-103,DC-103-3073
102,APPLETREE EARLY LEARNING CENTER PCS - OKLAHOMA AVENUE,District of Columbia,110005400435,District of Columbia,†,20002,†,–,11-City: Large,–,DC-103,DC-103-1137
103,APPLETREE EARLY LEARNING CENTER PCS - PARKLANDS AT THEARC,DISTRICT OF COLUMBIA,110005400517,District of Columbia,†,20032,†,–,11-City: Large,–,DC-103,DC-103-1069
104,APPLETREE EARLY LEARNING CENTER PCS - SOUTHWEST,District of Columbia,110005400413,District of Columbia,†,20024,†,–,11-City: Large,–,DC-103,DC-103-141
105,APPLICATIONS AND RESEARCH LABORATORY,Maryland,240042002949,Howard County,†,21042,2-No,1-Yes,13-City: Small,†,MD-13,MD-13-130303
106,APPOMATTOX COUNTY HIGH,Virginia,510024000076,Appomattox County,†,24522,2-No,2-No,42-Rural: Distant,†,VA-006,VA-006-0060260
107,APPOMATTOX ELEM,Virginia,510024000077,Appomattox County,†,24522,2-No,2-No,42-Rural: Distant,1-Yes,VA-006,VA-006-0060110
108,APPOMATTOX MIDDLE,Virginia,510024000078,Appomattox County,†,24522,2-No,2-No,42-Rural: Distant,†,VA-006,VA-006-0060160
109,APPOMATTOX PRIMARY,Virginia,510024000079,Appomattox County,†,24522,2-No,2-No,42-Rural: Distant,1-Yes,VA-006,VA-006-0060250
110,APPOMATTOX REGIONAL GOV. SCH.,Virginia,510003201932,Petersburg city,†,23803,1-Yes,1-Yes,21-Suburb: Large,†,VA-267,VA-267-2670010
111,ARBUTUS ELEMENTARY,Maryland,240012000341,Baltimore County,†,21227,2-No,2-No,21-Suburb: Large,1-Yes,MD-03,MD-03-031302
112,ARBUTUS MIDDLE,Maryland,240012000342,Baltimore County,†,21227,2-No,2-No,21-Suburb: Large,†,MD-03,MD-03-031356
113,ARCADIA HIGH,Virginia,510006002028,Accomack County,†,23416,2-No,2-No,42-Rural: Distant,†,VA-001,VA-001-0010540
114,ARCADIA MIDDLE,Virginia,510006002434,Accomack County,†,23416,2-No,2-No,42-Rural: Distant,1-Yes,VA-001,VA-001-0010704
115,ARCOLA ELEM,Virginia,510225002762,Loudoun County,†,20105,2-No,2-No,21-Suburb: Large,†,VA-053,VA-053-0530610
116,ARCOLA ELEMENTARY,Maryland,240048001643,Montgomery County,†,20902,2-No,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150790
117,ARDMORE ELEMENTARY,Maryland,240051000970,Prince George's County,†,20774,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-162008
118,ARGYLE MIDDLE,Maryland,240048000409,Montgomery County,†,20906,1-Yes,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150823
119,ARLINGTON COMMUNITY HIGH,Virginia,510027002875,Arlington County,†,22204,2-No,2-No,12-City: Mid-size,†,VA-007,VA-007-0070618
120,ARLINGTON ELEMENTARY/MIDDLE,Maryland,240009000146,Baltimore city,†,21207,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300234
121,ARLINGTON SCIENCE FOCUS,Virginia,510027001067,Arlington County,†,22201,1-Yes,2-No,12-City: Mid-size,†,VA-007,VA-007-0070613
122,ARLINGTON TRADITIONAL,Virginia,510027000104,Arlington County,†,22205,1-Yes,2-No,12-City: Mid-size,†,VA-007,VA-007-0070470
123,ARMEL ELEM,Virginia,510147000091,Frederick County,†,22602,2-No,2-No,41-Rural: Fringe,†,VA-034,VA-034-0340320
124,ARMISTEAD GARDENS ELEMENTARY/MIDDLE,Maryland,240009000147,Baltimore city,†,21205,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300243
125,ARMSTRONG ELEM,Virginia,510126002058,Fairfax County,†,20194,2-No,2-No,13-City: Small,†,VA-029,VA-029-0291530
126,ARMSTRONG ELEM,Virginia,510180000728,Hampton city,†,23661,2-No,2-No,12-City: Mid-size,†,VA-112,VA-112-1120120
127,ARMSTRONG HIGH,Virginia,510324002082,Henrico County,†,23223,2-No,2-No,21-Suburb: Large,1-Yes,VA-123,VA-123-1230850
128,ARNOLD ELEMENTARY,Maryland,240006000038,Anne Arundel County,†,21012,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-022052
129,ARROWHEAD ELEM,Virginia,510384001673,Virginia Beach city,†,23462,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280550
130,ARROWHEAD ELEMENTARY,Maryland,240051000971,Prince George's County,†,20772,2-No,2-No,41-Rural: Fringe,1-Yes,MD-16,MD-16-160640
131,ARTHUR ASHE JR. ELEM,Virginia,510189000869,Henrico County,†,23223,2-No,2-No,41-Rural: Fringe,1-Yes,VA-043,VA-043-0430320
132,ARTHUR MIDDLETON ELEMENTARY SCHOOL,Maryland,240027000582,Charles County,†,20602,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-08,MD-08-080612
133,ARUNDEL ELEMENTARY,Maryland,240009000148,Baltimore city,†,21225,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300164
134,ARUNDEL HIGH,Maryland,240006000040,Anne Arundel County,†,21054,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-023013
135,ARUNDEL MIDDLE,Maryland,240006000039,Anne Arundel County,†,21113,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-023023
136,ASHBURN ELEM,Virginia,510225000134,Loudoun County,†,20147,2-No,2-No,21-Suburb: Large,†,VA-053,VA-053-0530170
137,ASHBURTON ELEMENTARY,Maryland,240048000776,Montgomery County,†,20817,2-No,2-No,21-Suburb: Large,†,MD-15,MD-15-150425
138,ASHBY LEE ELEM,Virginia,510351001542,Shenandoah County,†,22847,2-No,2-No,42-Rural: Distant,1-Yes,VA-085,VA-085-0850820
139,ASHLAND ELEM,Virginia,510313002302,Prince William County,†,20112,2-No,2-No,21-Suburb: Large,†,VA-075,VA-075-0750200
140,ASHLAWN ELEM,Virginia,510027000082,Arlington County,†,22205,2-No,2-No,12-City: Mid-size,†,VA-007,VA-007-0070490
141,ASPIRE ACADEMY,VIRGINIA,510324003020,Richmond city,†,23230,2-No,1-Yes,12-City: Mid-size,†,VA-123,VA-123-1230823
142,ATHOLTON ELEMENTARY,Maryland,240042000718,Howard County,†,21046,2-No,2-No,13-City: Small,†,MD-13,MD-13-130603
143,ATHOLTON HIGH,Maryland,240042000719,Howard County,†,21044,2-No,2-No,13-City: Small,†,MD-13,MD-13-130509
144,ATKINS ELEM,Virginia,510352001556,Smyth County,†,24311,2-No,2-No,32-Town: Distant,1-Yes,VA-086,VA-086-0860290
145,ATLEE HIGH,Virginia,510183000114,Hanover County,†,23116,2-No,2-No,21-Suburb: Large,†,VA-042,VA-042-0420062
146,AUBURN ELEM,Virginia,510252001859,Montgomery County,†,24149,2-No,2-No,41-Rural: Fringe,1-Yes,VA-060,VA-060-0600902
147,AUBURN HIGH,Virginia,510252001013,Montgomery County,†,24149,2-No,2-No,41-Rural: Fringe,†,VA-060,VA-060-0600650
148,AUBURN MIDDLE,Virginia,510252001916,Montgomery County,†,24149,2-No,2-No,41-Rural: Fringe,†,VA-060,VA-060-0600903
149,AUBURN MIDDLE,Virginia,510132002409,Fauquier County,†,20187,2-No,2-No,21-Suburb: Large,†,VA-030,VA-030-0300854
150,AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,Maryland,240009001387,Baltimore city,†,21217,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300430
151,AVALON ELEMENTARY,Maryland,240051000972,Prince George's County,†,20744,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161221
152,AXTON ELEM,Virginia,510192002839,Henry County,†,24054,2-No,2-No,42-Rural: Distant,1-Yes,VA-044,VA-044-0440361
153,AZALEA MIDDLE,Virginia,510267001078,Norfolk city,†,23518,2-No,2-No,12-City: Mid-size,†,VA-118,VA-118-1180760
154,B M WILLIAMS PRIMARY,Virginia,510081000280,Chesapeake city,†,23320,2-No,2-No,21-Suburb: Large,1-Yes,VA-136,VA-136-1360630
155,B.C. CHARLES ELEM,Virginia,510264001040,Newport News city,†,23602,2-No,2-No,12-City: Mid-size,†,VA-117,VA-117-1171250
156,B.T. WASHINGTON MIDDLE,Virginia,510264001041,Newport News city,†,23607,1-Yes,2-No,12-City: Mid-size,†,VA-117,VA-117-1170110
157,BACK CREEK ELEM,Virginia,510333001442,Roanoke County,†,24018,2-No,2-No,41-Rural: Fringe,†,VA-080,VA-080-0800420
158,BACON DISTRICT ELEM,Virginia,510075000262,Charlotte County,†,23967,2-No,2-No,42-Rural: Distant,1-Yes,VA-020,VA-020-0200470
159,BADEN ELEMENTARY,Maryland,240051000973,Prince George's County,†,20613,2-No,2-No,41-Rural: Fringe,†,MD-16,MD-16-160802
160,BADGER VOC ED CTR - NORTH,Virginia,510006001988,Accomack County,†,23416,2-No,1-Yes,42-Rural: Distant,†,VA-001,VA-001-0010541
161,BADGER VOC ED CTR - SOUTH,Virginia,510006002004,Accomack County,†,23418,2-No,1-Yes,43-Rural: Remote,†,VA-001,VA-001-0010071
162,BAILEY BRIDGE MIDDLE,Virginia,510084000053,Chesterfield County,†,23112,2-No,2-No,21-Suburb: Large,†,VA-021,VA-021-0210631
163,BAILEY'S UPPER ELEMENTARY SCHOOL FOR THE ARTS A,VIRGINIA,510126003033,Fairfax County,†,22044,1-Yes,2-No,21-Suburb: Large,1-Yes,VA-029,VA-029-0292459
164,BAILEYS ELEM,Virginia,510126000426,Fairfax County,†,22041,1-Yes,2-No,21-Suburb: Large,1-Yes,VA-029,VA-029-0290550
165,BAINBRIDGE ELEMENTARY,Maryland,240024000556,Cecil County,†,21904,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-07,MD-07-070704
166,BAKER ELEM,Virginia,510189000788,Henrico County,†,23231,2-No,2-No,21-Suburb: Large,1-Yes,VA-043,VA-043-0430470
167,BAKER-BUTLER ELEM,Virginia,510009001937,Albemarle County,†,22911,2-No,2-No,23-Suburb: Small,†,VA-002,VA-002-0021053
168,BAKERFIELD ELEMENTARY,Maryland,240039000680,Harford County,†,21001,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120212
169,BALDWIN ELEM,Virginia,510236000976,Manassas city,†,20110,2-No,2-No,21-Suburb: Large,1-Yes,VA-143,VA-143-1430470
170,BALDWIN INTERMEDIATE SCHOOL,VIRGINIA,510236003034,Manassas city,†,20110,2-No,2-No,21-Suburb: Large,†,VA-143,VA-143-1430471
171,BALL'S BLUFF ELEM,Virginia,510225001143,Loudoun County,†,20176,2-No,2-No,21-Suburb: Large,†,VA-053,VA-053-0530220
172,BALLENGER CREEK ELEMENTARY,Maryland,240033090471,Frederick County,†,21703,2-No,2-No,22-Suburb: Mid-size,2-No,MD-10,MD-10-100223
173,BALLENGER CREEK MIDDLE,Maryland,240033090446,Frederick County,†,21703,2-No,2-No,22-Suburb: Mid-size,†,MD-10,MD-10-102305
174,BALLOU HS,District of Columbia,110003000084,District of Columbia,†,20032,†,–,11-City: Large,–,DC-001,DC-001-452
175,BALLOU STAY HS,District of Columbia,110003000207,District of Columbia,†,20032,†,–,11-City: Large,–,DC-001,DC-001-462
176,BALTIMORE CITY COLLEGE,Maryland,240009000150,Baltimore city,†,21218,2-No,2-No,11-City: Large,2-No,MD-30,MD-30-300480
177,BALTIMORE COLLEGIATE SCHOOL FOR BOYS,MARYLAND,240009001736,Baltimore city,†,21212,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300375
178,BALTIMORE COUNTY HOME & HOSPITAL,Maryland,240012001341,Baltimore County,†,21204,2-No,1-Yes,13-City: Small,†,MD-03,MD-03-030903
179,BALTIMORE DESIGN SCHOOL,Maryland,240009001703,Baltimore city,†,21202,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300382
180,BALTIMORE HIGHLANDS ELEMENTARY,Maryland,240012000344,Baltimore County,†,21227,2-No,2-No,21-Suburb: Large,1-Yes,MD-03,MD-03-031307
181,BALTIMORE INTERNATIONAL ACADEMY,Maryland,240009001631,Baltimore city,†,21206,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300335
