,school_name,state_name_latest_available_year,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,magnet_school,shared_time_school,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
611,CHARLES J COLGAN SR HIGH,VIRGINIA,510313003025,Prince William County,†,20112,1-Yes,2-No,41-Rural: Fringe,†,VA-075,VA-075-0755010
612,CHARLESMONT ELEMENTARY,Maryland,240012000359,Baltimore County,†,21222,2-No,2-No,21-Suburb: Large,1-Yes,MD-03,MD-03-031212
613,CHARLESTOWN ELEMENTARY,Maryland,240024000563,Cecil County,†,21914,2-No,2-No,41-Rural: Fringe,†,MD-07,MD-07-070513
614,CHARLOTTESVILLE ALTERNATIVE,Virginia,510078002550,Charlottesville city,†,22903,2-No,1-Yes,13-City: Small,†,VA-104,VA-104-1040242
615,CHARLOTTESVILLE HIGH,Virginia,510078000273,Charlottesville city,†,22901,2-No,2-No,13-City: Small,†,VA-104,VA-104-1040140
616,CHARLOTTESVILLE HOSP. EP.,Virginia,510004102324,Albemarle County,†,22903,2-No,2-No,23-Suburb: Small,†,VA-879,VA-879-8794020
617,CHARLOTTESVILLE-ALBEMARLE TECH,Virginia,510000302015,Albemarle County,†,22901,2-No,1-Yes,23-Suburb: Small,†,VA-301,VA-301-3010130
618,CHASE CITY ELEM,Virginia,510246001002,Mecklenburg County,†,23924,2-No,2-No,33-Town: Remote,1-Yes,VA-058,VA-058-0580910
619,CHASE ELEMENTARY,Maryland,240012000360,Baltimore County,†,21220,2-No,2-No,21-Suburb: Large,1-Yes,MD-03,MD-03-031507
620,CHATHAM ELEM,Virginia,510294001209,Pittsylvania County,†,24531,2-No,2-No,42-Rural: Distant,1-Yes,VA-071,VA-071-0710640
621,CHATHAM HIGH,Virginia,510294001210,Pittsylvania County,†,24531,2-No,2-No,42-Rural: Distant,†,VA-071,VA-071-0711720
622,CHATHAM MIDDLE,Virginia,510294001208,Pittsylvania County,†,24531,2-No,2-No,42-Rural: Distant,1-Yes,VA-071,VA-071-0711660
623,CHATSWORTH SCHOOL,Maryland,240012000361,Baltimore County,†,21136,1-Yes,2-No,21-Suburb: Large,†,MD-03,MD-03-030404
624,CHECK ELEM,Virginia,510135000617,Floyd County,†,24072,2-No,2-No,42-Rural: Distant,1-Yes,VA-031,VA-031-0310090
625,CHEROKEE LANE ELEMENTARY,Maryland,240051001006,Prince George's County,†,20783,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-162121
626,CHERRY HILL ELEMENTARY/MIDDLE,Maryland,240009000171,Baltimore city,†,21225,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300159
627,CHERRY HILL MIDDLE,Maryland,240024000564,Cecil County,†,21921,2-No,2-No,41-Rural: Fringe,1-Yes,MD-07,MD-07-070313
