school_name,state_name,lowest_grade_offered,highest_grade_offered,total_students_all_grades,free_and_reduced_lunch_students,reduced-price_lunch_eligible_students,latitude,longitude,magnet_school,charter_school,shared_time_school,urban-centric_locale,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
JOPPATOWNE HIGH,Maryland,9th Grade,12th Grade,763,507,85,39.414318,-76.351618,2-No,2-No,2-No,22-Suburb: Mid-size,240039000705,Harford County,†,21085,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120181
KENT COUNTY HIGH,Maryland,9th Grade,12th Grade,563,264,26,39.285329,-76.091684,2-No,2-No,2-No,42-Rural: Distant,240045000768,Kent County,†,21678,42-Rural: Distant,†,MD-14,MD-14-140301
KENT ISLAND HIGH SCHOOL,Maryland,9th Grade,12th Grade,1222,185,35,38.991128,-76.309347,2-No,2-No,2-No,21-Suburb: Large,240054001076,Queen Anne's County,†,21666,21-Suburb: Large,†,MD-17,MD-17-170405
KENWOOD HIGH IB AND SPORTS SCIENCE,Maryland,9th Grade,12th Grade,1622,996,150,39.32564,-76.46236,1-Yes,2-No,2-No,21-Suburb: Large,240012000412,Baltimore County,†,21221,21-Suburb: Large,1-Yes,MD-03,MD-03-031572
LA PLATA HIGH SCHOOL,Maryland,9th Grade,12th Grade,1152,211,42,38.54616400000001,-76.95023499999998,2-No,2-No,2-No,41-Rural: Fringe,240027000596,Charles County,†,20646,41-Rural: Fringe,†,MD-08,MD-08-080106
LANSDOWNE HIGH & ACADEMY OF FINANCE,Maryland,9th Grade,12th Grade,1291,812,110,39.245117,-76.651059,1-Yes,2-No,2-No,21-Suburb: Large,240012000416,Baltimore County,†,21227,21-Suburb: Large,1-Yes,MD-03,MD-03-031371
LARGO HIGH,Maryland,9th Grade,12th Grade,843,476,75,38.886644,-76.82003900000002,1-Yes,2-No,2-No,21-Suburb: Large,240051001089,Prince George's County,†,20774,21-Suburb: Large,†,MD-16,MD-16-161314
LAUREL HIGH,Maryland,9th Grade,12th Grade,1845,1130,212,39.09434,-76.867634,1-Yes,2-No,2-No,21-Suburb: Large,240051001092,Prince George's County,†,20707,21-Suburb: Large,†,MD-16,MD-16-161008
LEONARDTOWN HIGH,Maryland,9th Grade,12th Grade,1796,272,39,38.269836,-76.61122900000002,2-No,2-No,2-No,41-Rural: Fringe,240060001356,St. Mary's County,†,20650,41-Rural: Fringe,†,MD-18,MD-18-180306
LIBERTY HIGH,Maryland,9th Grade,12th Grade,1049,48,13,39.413269,-76.95269499999998,2-No,2-No,2-No,23-Suburb: Small,240021001394,Carroll County,†,21784,23-Suburb: Small,†,MD-06,MD-06-060507
LINGANORE HIGH,Maryland,9th Grade,12th Grade,1324,91,13,39.433063,-77.247231,2-No,2-No,2-No,41-Rural: Fringe,240033000638,Frederick County,†,21701,41-Rural: Fringe,†,MD-10,MD-10-100912
LOCH RAVEN HIGH,Maryland,9th Grade,12th Grade,870,345,66,39.404814,-76.563846,2-No,2-No,2-No,21-Suburb: Large,240012000420,Baltimore County,†,21286,21-Suburb: Large,†,MD-03,MD-03-030973
LONG REACH HIGH,Maryland,9th Grade,12th Grade,1554,447,92,39.205265,-76.811285,2-No,2-No,2-No,13-City: Small,240042000822,Howard County,†,21045,13-City: Small,2-No,MD-13,MD-13-130623
