school_name,state_name,lowest_grade_offered,highest_grade_offered,total_students_all_grades,free_and_reduced_lunch_students,reduced-price_lunch_eligible_students,latitude,longitude,magnet_school,charter_school,shared_time_school,urban-centric_locale,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
THOMAS S. WOOTTON HIGH,Maryland,9th Grade,12th Grade,2107,109,25,39.076714,-77.183144,2-No,2-No,2-No,13-City: Small,240048000934,Montgomery County,†,20850,13-City: Small,†,MD-15,MD-15-150234
THOMAS STONE HIGH SCHOOL,Maryland,9th Grade,12th Grade,1181,542,92,38.614593,-76.886485,2-No,2-No,2-No,22-Suburb: Mid-size,240027000607,Charles County,†,20601,22-Suburb: Mid-size,2-No,MD-08,MD-08-080605
TOWSON HIGH LAW & PUBLIC POLICY,Maryland,9th Grade,12th Grade,1629,274,62,39.390557,-76.600802,1-Yes,2-No,2-No,13-City: Small,240012000487,Baltimore County,†,21286,13-City: Small,†,MD-03,MD-03-030971
TUSCARORA HIGH,Maryland,9th Grade,12th Grade,1580,407,73,39.377965,-77.44579,2-No,2-No,2-No,22-Suburb: Mid-size,240033001550,Frederick County,†,21703,22-Suburb: Mid-size,†,MD-10,MD-10-102307
URBANA HIGH,Maryland,9th Grade,12th Grade,1790,106,29,39.326755,-77.33953100000002,2-No,2-No,2-No,41-Rural: Fringe,240033000616,Frederick County,†,21754,41-Rural: Fringe,†,MD-10,MD-10-100713
VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,Maryland,9th Grade,12th Grade,371,371,"=""0""",39.290266,-76.639953,2-No,2-No,2-No,11-City: Large,240009001385,Baltimore city,†,21223,11-City: Large,1-Yes,MD-30,MD-30-300429
WALKERSVILLE HIGH,Maryland,9th Grade,12th Grade,1152,222,24,39.475391,-77.36133199999998,2-No,2-No,2-No,41-Rural: Fringe,240033000655,Frederick County,†,21793,41-Rural: Fringe,†,MD-10,MD-10-102610
WALT WHITMAN HIGH,Maryland,9th Grade,12th Grade,2098,40,5,38.98164600000001,-77.12775500000002,2-No,2-No,2-No,13-City: Small,240048000941,Montgomery County,†,20817,13-City: Small,†,MD-15,MD-15-150427
WALTER JOHNSON HIGH,Maryland,9th Grade,12th Grade,2587,193,44,39.025939,-77.130142,2-No,2-No,2-No,21-Suburb: Large,240048000942,Montgomery County,†,20814,21-Suburb: Large,†,MD-15,MD-15-150424
WATKINS MILL HIGH,Maryland,9th Grade,12th Grade,1615,804,140,39.183903,-77.216352,2-No,2-No,2-No,21-Suburb: Large,240048001525,Montgomery County,†,20879,21-Suburb: Large,1-Yes,MD-15,MD-15-150545
WESTERN HIGH,Maryland,9th Grade,12th Grade,1086,1086,"=""0""",39.347203,-76.642638,2-No,2-No,2-No,11-City: Large,240009000330,Baltimore city,†,21209,11-City: Large,1-Yes,MD-30,MD-30-300407
WESTERN SCHOOL OF TECHNOLOGY & ENV. SCIENCE,Maryland,9th Grade,12th Grade,909,311,83,39.269703,-76.713125,1-Yes,2-No,2-No,21-Suburb: Large,240012000248,Baltimore County,†,21228,21-Suburb: Large,†,MD-03,MD-03-030175
WESTLAKE HIGH SCHOOL,Maryland,9th Grade,12th Grade,1198,401,94,38.621892,-76.96683,2-No,2-No,2-No,22-Suburb: Mid-size,240027000144,Charles County,†,20603,22-Suburb: Mid-size,†,MD-08,MD-08-080619
WESTMINSTER HIGH,Maryland,9th Grade,12th Grade,1540,169,29,39.541382,-76.992302,2-No,2-No,2-No,23-Suburb: Small,240021000552,Carroll County,†,21157,23-Suburb: Small,†,MD-06,MD-06-060707
WHEATON HIGH,Maryland,9th Grade,12th Grade,2077,963,246,39.060896,-77.066457,2-No,2-No,2-No,21-Suburb: Large,240048000951,Montgomery County,†,20906,21-Suburb: Large,1-Yes,MD-15,MD-15-150782
WICOMICO COUNTY EVENING HIGH,Maryland,9th Grade,12th Grade,77,3,–,38.365066,-75.57945500000002,2-No,2-No,2-No,23-Suburb: Small,240069001088,Wicomico County,†,21802,23-Suburb: Small,†,MD-22,MD-22-220520
WICOMICO HIGH,Maryland,9th Grade,12th Grade,1039,621,77,38.365062,-75.579421,2-No,2-No,2-No,23-Suburb: Small,240069001320,Wicomico County,†,21804,23-Suburb: Small,†,MD-22,MD-22-220513
WILDE LAKE HIGH,Maryland,9th Grade,12th Grade,1291,427,61,39.217236,-76.872855,2-No,2-No,2-No,13-City: Small,240042000762,Howard County,†,21044,13-City: Small,2-No,MD-13,MD-13-130516
WILLIAMSPORT HIGH,Maryland,9th Grade,12th Grade,898,352,42,39.596554,-77.810195,2-No,2-No,2-No,22-Suburb: Mid-size,240066001295,Washington County,†,21795,22-Suburb: Mid-size,†,MD-21,MD-21-210204
WINSTON CHURCHILL HIGH,Maryland,9th Grade,12th Grade,2227,79,17,39.044068,-77.17303299999998,2-No,2-No,2-No,21-Suburb: Large,240048000956,Montgomery County,†,20854,21-Suburb: Large,†,MD-15,MD-15-150602
WINTERS MILL HIGH,Maryland,9th Grade,12th Grade,1126,239,41,39.57129000000001,-76.976617,2-No,2-No,2-No,41-Rural: Fringe,240021001185,Carroll County,†,21157,41-Rural: Fringe,†,MD-06,MD-06-060704
WOODLAWN HIGH CENTER FOR PRE-ENG. RES.,Maryland,9th Grade,12th Grade,1575,997,159,39.315184,-76.734817,1-Yes,2-No,2-No,21-Suburb: Large,240012000502,Baltimore County,†,21207,21-Suburb: Large,1-Yes,MD-03,MD-03-030172
